experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P13_Seq2Trend_trial_133,P13,51fd9880db9086a33f48d302aae82f6d,133,13.321416968355832,3.3988892076787978,Seq2Trend,Normal,False,0.5,300,300,200,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,7,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.86,0.8388888888888889,3.397777777777778
UNISIM_IV_P13_Seq2Trend_trial_143,P13,fc3a20e71c1c824d77dda79d1388b501,143,6.435929004084116,1.3042945513383188,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,4,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7347222222222223,0.5908333333333333,2.651111111111111
UNISIM_IV_P13_Seq2Trend_trial_40,P13,2857e500d0f7a66c8ca8aca6a7957862,40,5.423665360861576,0.716489556079379,Seq2Trend,Normal,False,0.25,300,300,50,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5533333333333333,0.27555555555555555,1.6577777777777778
UNISIM_IV_P13_Seq2Trend_trial_110,P13,09be99beccd88126b6277dfe0bc44abd,110,5.331398681566879,0.6543716805473937,Seq2Trend,Normal,False,0.25,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.4475,0.2608333333333333,1.4166666666666665
UNISIM_IV_P13_Seq2Trend_trial_104,P13,29dcb60f3210cf80708b2ea03dc46822,104,6.303298520694262,1.2937592600000136,Seq2Trend,Normal,False,0.99,300,300,100,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7336111111111111,0.5669444444444445,2.601111111111111
UNISIM_IV_P13_Seq2Trend_trial_53,P13,fb1e80572244b6a699b71307d8c0fad6,53,5.361697630383375,0.7631233491696352,Seq2Trend,Normal,False,0.25,300,300,50,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,6,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5683333333333334,0.26722222222222225,1.6711111111111112
UNISIM_IV_P13_Seq2Trend_trial_21,P13,bcf50dabae865dcfa09ae6f4b304f257,21,5.4630056357994325,0.8346311817900111,Seq2Trend,Normal,False,0.25,300,300,200,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5897222222222223,0.2802777777777778,1.7400000000000002
UNISIM_IV_P13_Seq2Trend_trial_4,P13,5203b50597b7e6aa44f118864a375f3b,4,5.384865685457125,0.8508827433650307,Seq2Trend,Normal,False,0.25,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,4,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.595,0.2727777777777778,1.7355555555555555
UNISIM_IV_P13_Seq2Trend_trial_90,P13,cd05eb2be5ffaa1afde650e87ffdf234,90,5.4447842624390255,0.1961822564146007,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.13722222222222222,0.2783333333333333,0.8311111111111111
UNISIM_IV_P13_Seq2Trend_trial_118,P13,cefddc1d34f2f472200ab83e4663bb1a,118,5.329805572262639,0.8659421000235562,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,5,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5977777777777777,0.25833333333333336,1.712222222222222
