TIME	WOPR
4192	3087
4193	3081
4194	3119
4195	3194
4196	3178
4197	3171
4198	2867
4199	1850
4200	1859
4201	3009
4202	3010
4203	3014
4204	3023
4205	3018
4206	2314
4207	2399
4208	1851
4209	2900
4210	2914
4211	2879
4212	2868
4213	2852
4214	2857
4215	2792
4216	2776
4217	2789
4218	2769
4219	2752
4220	2733
4221	2701
4222	2672
4223	2657
4224	2642
4225	2734
4226	2897
4227	2895
4228	2886
4229	2879
4230	2887
4231	2893
4232	2782
4233	2774
4234	2767
4235	2765
4236	2756
4237	2713
4238	2724
4239	2714
4240	2699
4241	2708
4242	2727
4243	2733
4244	2732
4245	2768
4246	2767
4247	2644
4248	2625
4249	2609
4250	2619
4251	2607
4252	2591
4253	2577
4254	2566
4255	0
4256	2529
4257	2525
4258	2549
4259	2515
4260	2473
4261	2476
4262	2289
4263	2510
4264	2502
4265	2422
4266	2449
4267	2447
4268	2430
4269	2427
4270	2426
4271	2424
4272	2383
4273	2401
4274	2392
4275	2354
4276	420
4277	2071
4278	2442
4279	2183
4280	2108
4281	2162
4282	2187
4283	1735
4284	2156
4285	1712
4286	2347
4287	2354
4288	2353
4289	2353
4290	2354
4291	2363
4292	3300
4293	3302
4294	2389
4295	2463
4296	2529
4297	2423
4298	2401
4299	2284
4300	2273
4301	2250
4302	2248
4303	2261
4304	967
4305	2246
4306	2232
4307	2206
4308	2144
4309	2247
4310	2242
4311	2242
4312	2234
4313	2220
4314	2242
4315	2267
4316	2262
4317	2288
4318	2217
4319	2159
4320	2151
4321	2159
4322	2156
4323	2147
4324	2141
4325	2109
4326	2141
4327	2135
4328	2137
4329	2118
4330	2136
4331	2117
4332	2126
4333	2133
4334	2127
4335	2122
4336	2120
4337	2051
4338	2040
4339	2025
4340	2041
4341	2017
4342	2018
4343	2030
4344	2027
4345	2015
4346	2036
4347	2037
4348	2038
4349	2034
4350	2030
4351	2033
4352	2125
4353	2079
4354	2104
4355	2098
4356	2095
4357	2096
4358	2097
4359	2103
4360	2100
4361	2107
4362	1879
4363	1938
4364	1907
4365	2105
4366	2219
4367	2187
4368	2178
4369	2186
4370	2207
4371	2202
4372	2200
4373	2198
4374	2185
4375	2188
4376	2187
4377	2191
4378	2191
4379	2188
4380	2222
4381	2210
4382	2207
4383	2204
4384	2208
4385	2208
4386	2208
4387	594
4388	2213
4389	2217
4390	2214
4391	2214
4392	2270
4393	2260
4394	2245
4395	2228
4396	2222
4397	2216
4398	2197
4399	726
4400	2214
4401	2199
4402	2187
4403	2184
4404	2178
4405	2036
4406	2134
4407	2116
4408	2097
4409	2091
4410	2090
4411	2088
4412	1728
4413	2138
4414	2101
4415	2094
4416	2127
4417	2095
4418	2144
4419	2092
4420	1837
4421	2053
4422	2095
4423	2087
4424	2073
4425	2115
4426	2108
4427	2123
4428	2115
4429	2105
4430	2116
4431	2110
4432	2120
4433	2116
4434	2063
4435	2021
4436	2028
4437	2027
4438	2087
4439	2016
4440	2014
4441	1982
4442	1955
4443	1945
4444	1947
4445	2024
4446	1909
4447	1864
4448	1995
4449	1727
4450	2017
4451	2001
4452	2001
4453	2006
4454	2014
4455	1999
4456	1983
4457	1986
4458	1976
4459	1372
4460	1966
4461	1975
4462	1967
4463	1979
4464	1999
4465	1447
4466	0
4467	-99999
4468	-99999
4469	-99999
4470	-99999
4471	-99999
4472	-99999
4473	-99999
4474	-99999
4475	-99999
4476	-99999
4477	-99999
4478	-99999
4479	-99999
4480	-99999
4481	-99999
4482	-99999
4483	-99999
4484	-99999
4485	-99999
4486	-99999
4487	-99999
4488	-99999
4489	-99999
4490	-99999
4491	-99999
4492	-99999
4493	-99999
4494	-99999
4495	-99999
4496	-99999
4497	-99999
4498	-99999
4499	-99999
4500	-99999
4501	-99999
4502	-99999
4503	-99999
4504	-99999
4505	-99999
4506	-99999
4507	-99999
4508	-99999
4509	-99999
4510	-99999
4511	-99999
4512	-99999
4513	-99999
4514	-99999
4515	-99999
4516	-99999
4517	-99999
4518	-99999
4519	-99999
4520	-99999
4521	-99999
4522	-99999
4523	-99999
4524	-99999
4525	-99999
4526	-99999
4527	-99999
4528	-99999
4529	-99999
4530	-99999
4531	-99999
4532	-99999
4533	-99999
4534	-99999
4535	-99999
4536	-99999
4537	-99999
4538	-99999
4539	-99999
4540	-99999
4541	-99999
4542	-99999
4543	-99999
4544	-99999
4545	-99999
4546	-99999
4547	-99999
4548	-99999
4549	-99999
4550	-99999
4551	-99999
4552	-99999
4553	-99999
4554	-99999
4555	-99999
4556	-99999
4557	-99999
4558	-99999
4559	-99999
4560	-99999
4561	-99999
4562	-99999
4563	-99999
4564	-99999
4565	-99999
4566	-99999
4567	-99999
4568	-99999
4569	-99999
4570	-99999
4571	-99999
4572	-99999
4573	-99999
4574	-99999
4575	-99999
4576	-99999
4577	-99999
4578	-99999
4579	-99999
4580	-99999
4581	-99999
4582	-99999
4583	-99999
4584	-99999
4585	-99999
4586	-99999
4587	-99999
4588	-99999
4589	-99999
4590	-99999
4591	-99999
4592	-99999
4593	-99999
4594	-99999
4595	-99999
4596	-99999
4597	-99999
4598	-99999
4599	-99999
4600	-99999
4601	-99999
4602	-99999
4603	-99999
4604	-99999
4605	-99999
4606	-99999
4607	-99999
4608	-99999
4609	-99999
4610	-99999
4611	-99999
4612	-99999
4613	-99999
4614	-99999
4615	-99999
4616	-99999
4617	-99999
4618	-99999
4619	-99999
4620	-99999
4621	-99999
4622	-99999
4623	-99999
4624	-99999
4625	-99999
4626	-99999
4627	-99999
4628	-99999
4629	-99999
4630	-99999
4631	-99999
4632	-99999
4633	-99999
4634	-99999
4635	-99999
4636	-99999
4637	-99999
4638	-99999
4639	-99999
4640	-99999
4641	-99999
4642	-99999
4643	-99999
4644	-99999
4645	-99999
4646	-99999
4647	-99999
4648	-99999
4649	-99999
4650	-99999
4651	-99999
4652	-99999
4653	-99999
4654	-99999
4655	-99999
4656	-99999
4657	-99999
4658	-99999
4659	-99999
4660	-99999
4661	-99999
4662	-99999
4663	-99999
4664	-99999
4665	-99999
4666	-99999
4667	-99999
4668	-99999
4669	-99999
4670	-99999
4671	-99999
4672	-99999
4673	-99999
4674	-99999
4675	-99999
4676	-99999
4677	-99999
4678	-99999
4679	-99999
4680	-99999
4681	-99999
4682	-99999
4683	-99999
4684	-99999
4685	-99999
4686	-99999
4687	-99999
4688	-99999
4689	-99999
4690	-99999
4691	-99999
4692	-99999
4693	-99999
4694	-99999
4695	-99999
4696	-99999
4697	-99999
4698	-99999
4699	-99999
4700	-99999
4701	-99999
4702	-99999
4703	-99999
4704	-99999
4705	-99999
4706	-99999
4707	-99999
4708	-99999
4709	-99999
4710	-99999
4711	-99999
4712	-99999
4713	-99999
4714	-99999
4715	-99999
4716	-99999
4717	-99999
4718	-99999
4719	-99999
4720	-99999
4721	-99999
4722	-99999
4723	-99999
4724	-99999
4725	-99999
4726	-99999
4727	-99999
4728	-99999
4729	-99999
4730	-99999
4731	-99999
4732	-99999
4733	-99999
4734	-99999
4735	-99999
4736	-99999
4737	-99999
4738	-99999
4739	-99999
4740	-99999
4741	-99999
4742	-99999
4743	-99999
4744	-99999
4745	-99999
4746	-99999
4747	-99999
4748	-99999
4749	-99999
4750	-99999
4751	-99999
4752	-99999
4753	-99999
4754	-99999
4755	-99999
4756	-99999
4757	-99999
4758	-99999
4759	-99999
4760	-99999
4761	-99999
4762	-99999
4763	-99999
4764	-99999
4765	-99999
4766	-99999
4767	-99999
4768	-99999
4769	-99999
4770	-99999
4771	-99999
4772	-99999
4773	-99999
4774	-99999
4775	-99999
4776	-99999
4777	-99999
4778	-99999
4779	-99999
4780	-99999
4781	-99999
4782	-99999
4783	-99999
4784	-99999
4785	-99999
4786	-99999
4787	-99999
4788	-99999
4789	-99999
4790	-99999
4791	-99999
4792	-99999
4793	-99999
4794	-99999
4795	-99999
4796	-99999
4797	-99999
4798	-99999
4799	-99999
4800	-99999
4801	-99999
4802	-99999
4803	-99999
4804	-99999
4805	-99999
4806	-99999
4807	-99999
4808	-99999
4809	-99999
4810	-99999
4811	-99999
4812	-99999
4813	-99999
4814	-99999
4815	-99999
4816	-99999
4817	-99999
4818	-99999
4819	-99999
4820	-99999
4821	-99999
4822	-99999
4823	-99999
4824	-99999
4825	-99999
4826	-99999
4827	-99999
4828	-99999
4829	-99999
4830	-99999
4831	-99999
4832	-99999
4833	-99999
4834	-99999
4835	-99999
4836	-99999
4837	-99999
4838	-99999
4839	-99999
4840	-99999
4841	-99999
4842	-99999
4843	-99999
4844	-99999
4845	-99999
4846	-99999
4847	-99999
4848	-99999
4849	-99999
4850	-99999
4851	-99999
4852	-99999
4853	-99999
4854	-99999
4855	-99999
4856	-99999
4857	-99999
4858	-99999
4859	-99999
4860	-99999
4861	-99999
4862	-99999
4863	-99999
4864	-99999
4865	-99999
4866	-99999
4867	-99999
4868	-99999
4869	-99999
4870	-99999
4871	-99999
4872	-99999
4873	-99999
4874	-99999
4875	-99999
4876	-99999
4877	-99999
4878	-99999
4879	-99999
4880	-99999
4881	-99999
4882	-99999
4883	-99999
4884	-99999
4885	-99999
4886	-99999
4887	-99999
4888	-99999
4889	-99999
4890	-99999
4891	-99999
4892	-99999
4893	-99999
4894	-99999
4895	-99999
4896	-99999
4897	-99999
4898	-99999
4899	-99999
4900	-99999
4901	-99999
4902	-99999
4903	-99999
4904	-99999
4905	-99999
4906	-99999
4907	-99999
4908	-99999
4909	-99999
4910	-99999
4911	-99999
4912	-99999
4913	-99999
4914	-99999
4915	-99999
4916	-99999
4917	-99999
4918	-99999
4919	-99999
4920	-99999
4921	-99999
4922	-99999
4923	-99999
4924	-99999
4925	-99999
4926	-99999
4927	-99999
4928	-99999
4929	-99999
4930	-99999
4931	-99999
4932	-99999
4933	-99999
4934	-99999
4935	-99999
4936	-99999
4937	-99999
4938	-99999
4939	-99999
4940	-99999
4941	-99999
4942	-99999
4943	-99999
4944	-99999
4945	-99999
4946	-99999
4947	-99999
4948	-99999
4949	-99999
4950	-99999
4951	-99999
4952	-99999
4953	-99999
4954	-99999
4955	-99999
4956	-99999
4957	-99999
4958	-99999
4959	-99999
4960	-99999
4961	-99999
4962	-99999
4963	-99999
4964	-99999
4965	-99999
4966	-99999
4967	-99999
4968	-99999
4969	-99999
4970	-99999
4971	-99999
4972	-99999
4973	-99999
4974	-99999
4975	-99999
4976	-99999
4977	-99999
4978	-99999
4979	-99999
4980	-99999
4981	-99999
4982	-99999
4983	-99999
4984	-99999
4985	-99999
4986	-99999
4987	-99999
4988	-99999
4989	-99999
4990	-99999
4991	-99999
4992	-99999
4993	-99999
4994	-99999
4995	-99999
